title,year,journal,authors,doi,labels
Coffee Drying Using a Combination of Solar and Electric Heaters Utilizing PCM as a Thermal Energy Storage,2025,Journal of Physics: Conference Series,"Fauzi, M.B. and Kosasih, E.A. and Putra, G.J.P.",10.1088/1742-6596/3103/1/012002,solar_drying
Coffee Drying Using a Combination of Solar and Electric Heaters Utilizing PCM as a Thermal Energy Storage,2025,Journal of Physics: Conference Series,"Fauzi, M.B. and Kosasih, E.A. and Putra, G.J.P.",10.1088/1742-6596/3103/1/012002,mechanical_drying
Coffee Drying Using a Combination of Solar and Electric Heaters Utilizing PCM as a Thermal Energy Storage,2025,Journal of Physics: Conference Series,"Fauzi, M.B. and Kosasih, E.A. and Putra, G.J.P.",10.1088/1742-6596/3103/1/012002,coffee_drying_stage
Controlling temperature using proportional integral and derivative control algorithm for hybrid forced convection solar dryer,2024,International Journal of Electrical and Computer Engineering,"Arifin, M.A. and Pangaribuan, P. and Pramudita, B.A. and Megantoro, P.",10.11591/ijece.v14i1.pp239-247,dryer_design
Controlling temperature using proportional integral and derivative control algorithm for hybrid forced convection solar dryer,2024,International Journal of Electrical and Computer Engineering,"Arifin, M.A. and Pangaribuan, P. and Pramudita, B.A. and Megantoro, P.",10.11591/ijece.v14i1.pp239-247,drying_kinetics
"Harmonizing Drying Time, Layer Thickness, and Drier Zones for Drying Kinetics: Quality and Safety of Solar Tunnel-Dried Wet-Processed Parchment Coffee (Coffea arabica L.)",2023,International Journal of Food Science,"Abdissa, Z.K. and Tola, Y.B. and Taye, A.H. and Mohammed, H.H.",10.1155/2023/6677592,coffee_quality
"Harmonizing Drying Time, Layer Thickness, and Drier Zones for Drying Kinetics: Quality and Safety of Solar Tunnel-Dried Wet-Processed Parchment Coffee (Coffea arabica L.)",2023,International Journal of Food Science,"Abdissa, Z.K. and Tola, Y.B. and Taye, A.H. and Mohammed, H.H.",10.1155/2023/6677592,drying_kinetics
"Harmonizing Drying Time, Layer Thickness, and Drier Zones for Drying Kinetics: Quality and Safety of Solar Tunnel-Dried Wet-Processed Parchment Coffee (Coffea arabica L.)",2023,International Journal of Food Science,"Abdissa, Z.K. and Tola, Y.B. and Taye, A.H. and Mohammed, H.H.",10.1155/2023/6677592,coffee_drying_stage
Comparative study of mathematical and experimental models of coffee bean drying rate in a solar dryer simulator,2024,E3S Web of Conferences,"Sihombing, H.V. and Ambarita, H. and Silalahi, J.F. and Ambarita H. and Selvasembian R. and Fachrudin H.T. and Huda A.",10.1051/e3sconf/202451903035,solar_drying
Comparative study of mathematical and experimental models of coffee bean drying rate in a solar dryer simulator,2024,E3S Web of Conferences,"Sihombing, H.V. and Ambarita, H. and Silalahi, J.F. and Ambarita H. and Selvasembian R. and Fachrudin H.T. and Huda A.",10.1051/e3sconf/202451903035,coffee_quality
Comparative study of mathematical and experimental models of coffee bean drying rate in a solar dryer simulator,2024,E3S Web of Conferences,"Sihombing, H.V. and Ambarita, H. and Silalahi, J.F. and Ambarita H. and Selvasembian R. and Fachrudin H.T. and Huda A.",10.1051/e3sconf/202451903035,drying_kinetics
Comparative study of mathematical and experimental models of coffee bean drying rate in a solar dryer simulator,2024,E3S Web of Conferences,"Sihombing, H.V. and Ambarita, H. and Silalahi, J.F. and Ambarita H. and Selvasembian R. and Fachrudin H.T. and Huda A.",10.1051/e3sconf/202451903035,coffee_drying_stage
Determination of appropriate effective diffusivity for different food materials,2017,Drying Technology,"Khan, M.I.H. and Kumar, C. and Joardder, M.U.H. and Karim, M.A.",10.1080/07373937.2016.1170700,drying_kinetics
Individual and interactive effect of ultrasound pre-treatment on drying kinetics and biochemical qualities of food: A critical review,2023,Ultrasonics Sonochemistry,"Pandiselvam, R. and Aydar, A.Y. and Kutlu, N. and Aslam, R. and Sahni, P. and Mitharwal, S. and Gavahian, M. and Kumar, M. and Raposo, A. and Yoo, S. and Han, H. and Kothakota, A.",10.1016/j.ultsonch.2022.106261,drying_kinetics
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,2026,Foods,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",10.3390/foods15020367,drying_kinetics
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,2026,Foods,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",10.3390/foods15020367,energy_efficiency
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,2026,Foods,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",10.3390/foods15020367,mechanical_drying
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,2026,Foods,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",10.3390/foods15020367,coffee_drying_stage
Exploring the impacts of postharvest processing on the microbiota and metabolite profiles during green coffee bean production,2017,Applied and Environmental Microbiology,"De Bruyn, F. and Zhang, S.J. and Pothakos, V. and Torres, J. and Lambot, C. and Moroni, A.V. and Callanan, M. and Sybesma, W. and Weckx, S. and De Vuyst, L.",10.1128/AEM.02398-16,coffee_processing
Protein profiles and physiological performance of coffee seeds subjected to different processing and drying methods,2012,Pesquisa Agropecuaria Brasileira,"Taveira, J.H.S. and da Rosa, S.D.V.F. and Borém, F.M. and Giomo, G.S. and Saath, R.",10.1590/S0100-204X2012001000014,coffee_processing
Simulation of a thermal environment in two buildings for the wet processing of coffee,2015,DYNA (Colombia),"Osorio-Hernandez, R. and Guerra-Garcia, L.M. and Ferreira-Tinôco, I.D.F. and Osorio-Saraz, J.A. and Aristizábal-Torres, I.D.",10.15446/dyna.v82n194.49526,coffee_processing
Monitoring moisture content in parchment coffee beans during drying using Fourier Transform near infrared (FT-NIR) spectroscopy: A dataset for calibrating chemometric-based models for moisture prediction,2025,Data in Brief,"Ordoñez-Lozano, S. and Collazos-Escobar, G.A. and Bahamón-Monje, A.F. and Gutiérrez-Guzmán, N.",10.1016/j.dib.2025.111436,drying_kinetics
