title,year,journal,authors,doi,labels
Biotransformation of bovine tannery fleshing into utilizable product with multifunctionalities,2021,Biocatalysis and Biotransformation,"Thazeem, B. and Umesh, M. and Mani, V.M. and Beryl, G.P. and Preethi, K.",10.1080/10242422.2020.1786071,Producto: Productos agrícolas
Biotransformation of bovine tannery fleshing into utilizable product with multifunctionalities,2021,Biocatalysis and Biotransformation,"Thazeem, B. and Umesh, M. and Mani, V.M. and Beryl, G.P. and Preethi, K.",10.1080/10242422.2020.1786071,Tipo de valorización: Valorización biológica
Activated Carbon from Wet Blue Leather Waste for Dye Removal,2026,Processes,"Arpini, C.A.D.A. and Oro, C.E.D. and Dallago, R.M. and Tres, M.V.",10.3390/pr14020281,Producto: Materiale
Activated Carbon from Wet Blue Leather Waste for Dye Removal,2026,Processes,"Arpini, C.A.D.A. and Oro, C.E.D. and Dallago, R.M. and Tres, M.V.",10.3390/pr14020281,Residuos: Residuos sólidos
Activated Carbon from Wet Blue Leather Waste for Dye Removal,2026,Processes,"Arpini, C.A.D.A. and Oro, C.E.D. and Dallago, R.M. and Tres, M.V.",10.3390/pr14020281,Residuos: Residuos con cromo
Activated Carbon from Wet Blue Leather Waste for Dye Removal,2026,Processes,"Arpini, C.A.D.A. and Oro, C.E.D. and Dallago, R.M. and Tres, M.V.",10.3390/pr14020281,Tipo de valorización: Valorización térmica
Activated Carbon from Wet Blue Leather Waste for Dye Removal,2026,Processes,"Arpini, C.A.D.A. and Oro, C.E.D. and Dallago, R.M. and Tres, M.V.",10.3390/pr14020281,Tipo de valorización: Aplicaciones ambientales
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,2024,Journal of Environmental Sciences (China),"Li, Z. and Yu, D. and Wang, X. and Liu, X. and Xu, Z. and Wang, Y.",10.1016/j.jes.2023.04.014,Producto: Materiale
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,2024,Journal of Environmental Sciences (China),"Li, Z. and Yu, D. and Wang, X. and Liu, X. and Xu, Z. and Wang, Y.",10.1016/j.jes.2023.04.014,Residuos: Residuos sólidos
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,2024,Journal of Environmental Sciences (China),"Li, Z. and Yu, D. and Wang, X. and Liu, X. and Xu, Z. and Wang, Y.",10.1016/j.jes.2023.04.014,Residuos: Residuos con cromo
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,2024,Journal of Environmental Sciences (China),"Li, Z. and Yu, D. and Wang, X. and Liu, X. and Xu, Z. and Wang, Y.",10.1016/j.jes.2023.04.014,Tipo de valorización: Valorización térmica
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,2024,Journal of Environmental Sciences (China),"Li, Z. and Yu, D. and Wang, X. and Liu, X. and Xu, Z. and Wang, Y.",10.1016/j.jes.2023.04.014,Tipo de valorización: Aplicaciones ambientales
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,2020,Waste and Biomass Valorization,"Ammasi, R. and Victor, J.S. and Chellan, R. and Chellappa, M.",10.1007/s12649-019-00912-6,Producto: Biomoléculas
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,2020,Waste and Biomass Valorization,"Ammasi, R. and Victor, J.S. and Chellan, R. and Chellappa, M.",10.1007/s12649-019-00912-6,Residuos: Residuos sólidos
